Date;T_nh;Number;bu_i
07/09/2021 ;Bình D__ng;66;Tr_a
07/09/2021 ;__ng Nai;17;Tr_a
07/09/2021 ;B_c Giang;9;Tr_a
07/09/2021 ;Trà Vinh;8;Tr_a
07/09/2021 ;B_c Ninh;7;Tr_a
07/09/2021 ;Qu_ng Ngãi;7;Tr_a
07/09/2021 ;Bà R_a - V_ng Tàu;4;Tr_a
07/09/2021 ;Hà N_i;2;Tr_a
07/09/2021 ;V_nh Phúc;1;Tr_a
07/09/2021 ;B_c Liêu;1;Tr_a
07/09/2021 ;Lâm __ng;1;Tr_a
07/09/2021 ;Thanh Hóa;1;Tr_a
07/09/2021 ;An Giang;1;Sáng
07/09/2021 ;Long An;37;Sáng
07/09/2021 ;__ng Nai;15;Sáng
07/09/2021 ;Phú Yên;6;Sáng
07/09/2021 ;An Giang;5;Sáng
07/09/2021 ;Khánh Hòa;4;Sáng
07/09/2021 ;B_c Ninh;3;Sáng
07/09/2021 ;V_nh Phúc;1;Sáng
07/09/2021 ;Gia Lai;1;Sáng
07/09/2021 ;B_c Liêu;1;Sáng
07/09/2021 ;An Giang;1;Sáng
07/09/2021 ;Long An;37;Sáng
07/09/2021 ;__ng Nai;15;Sáng
07/09/2021 ;Phú Yên;6;Sáng
07/09/2021 ;An Giang;5;Sáng
07/09/2021 ;Khánh Hòa;4;Sáng
07/09/2021 ;B_c Ninh;3;Sáng
07/09/2021 ;V_nh Phúc;1;Sáng
07/09/2021 ;Gia Lai;1;Sáng
07/09/2021 ;B_c Liêu;1;Sáng
07/10/2021 ;Bình D__ng;140;T_i
07/10/2021 ;Long An;33;T_i
07/10/2021 ;__ng Nai;19;T_i
07/10/2021 ;Phú Yên;18;T_i
07/10/2021 ;Qu_ng Ngãi;14;T_i
07/10/2021 ;Khánh Hòa;13;T_i
07/10/2021 ;__ng Tháp;8;T_i
07/10/2021 ;Hà N_i;5;T_i
07/10/2021 ;Bình Ph__c;4;T_i
07/10/2021 ;Tây Ninh;3;T_i
07/10/2021 ;Bà R_a – V_ng Tàu;1;T_i
07/10/2021 ;Bình __nh;1;T_i
07/10/2021 ;V_nh Phúc;1;T_i
07/10/2021 ;Thái Bình;1;T_i
07/10/2021 ;Bình D__ng;140;T_i
07/10/2021 ;Long An;33;T_i
07/10/2021 ;__ng Nai;19;T_i
07/10/2021 ;Phú Yên;18;T_i
07/10/2021 ;Qu_ng Ngãi;14;T_i
07/10/2021 ;Khánh Hòa;13;T_i
07/10/2021 ;__ng Tháp;8;T_i
07/10/2021 ;Hà N_i;5;T_i
07/10/2021 ;Bình Ph__c;4;T_i
07/10/2021 ;Tây Ninh;3;T_i
07/10/2021 ;Bà R_a – V_ng Tàu;1;T_i
07/10/2021 ;Bình __nh;1;T_i
07/10/2021 ;V_nh Phúc;1;T_i
07/10/2021 ;Thái Bình;1;T_i
07/10/2021 ;Ti_n Giang;75;Tr_a
07/10/2021 ;__ng Tháp;50;Tr_a
07/10/2021 ;V_nh Long;26;Tr_a
07/10/2021 ;Sóc Tr_ng;7;Tr_a
07/10/2021 ;H_ng Yên;7;Tr_a
07/10/2021 ;Phú Yên;7;Tr_a
07/10/2021 ;B_c Giang;4;Tr_a
07/10/2021 ;Trà Vinh;2;Tr_a
07/10/2021 ;Cà Mau;2;Tr_a
07/10/2021 ;B_c Ninh;2;Tr_a
07/10/2021 ;Ninh Thu_n;1;Tr_a
07/10/2021 ;B_c Liêu;1;Tr_a
07/10/2021 ;Kiên Giang;1;Tr_a
07/10/2021 ;Bình __nh;1;Tr_a
07/10/2021 ;Hà T_nh;1;Tr_a
07/10/2021 ;Thanh Hoá;1;Tr_a
07/10/2021 ;Thái Bình;1;Tr_a
07/10/2021 ;Hà Nam;1;Tr_a
07/10/2021 ;Tây Ninh;2;Sáng
07/10/2021 ;Hà N_i;1;Sáng
07/10/2021 ;__ng Nai;18;Sáng
07/10/2021 ;Khánh Hòa;15;Sáng
07/10/2021 ;Bà R_a – V_ng Tàu;11;Sáng
07/10/2021 ;An Giang;10;Sáng
07/10/2021 ;Phú Yên;8;Sáng
07/10/2021 ;Bình Ph__c;4;Sáng
07/10/2021 ;B_n Tre;2;Sáng
07/10/2021 ;Hà N_i;2;Sáng
07/10/2021 ;Thanh Hóa;2;Sáng
07/10/2021 ;Tây Ninh;1;Sáng
07/11/2021 ;Khánh Hòa;2;T_i
